ModelFamily,Variant,Validation_MAE,Validation_RMSE,Validation_R2,Test_MAE,Test_RMSE,Test_R2,Epochs,Best_Validation_Loss,Validation_RMSE_Rank,Test_RMSE_Rank
Linear Regression,No VIX,1.1171339617704668,1.2784596867803195,0.8301510448436695,2.91031556370539,4.33291390666324,0.7699976412231744,,,2.0,2.0
Linear Regression,VIX Close Only,1.1247568686870344,1.2882828007413374,0.8275309302541787,2.92423337691198,4.361425790647317,0.7669607118648692,,,3.0,3.0
Linear Regression,All VIX Features,0.887774307278264,1.0715801428452516,0.8806731660552983,2.7593763777721545,4.303366659645945,0.7731238353001869,,,1.0,1.0
LSTM + BSM,No VIX,0.46332528671980067,0.8663542068579734,0.9220026620365989,0.8695783056300765,2.38261090615677,0.9304529967784002,23.0,0.5310680270195007,3.0,3.0
LSTM + BSM,VIX Close Only,0.46211775663762944,0.8643429478962088,0.9223643864952041,0.8613585631726003,2.365515773546485,0.9314474101182675,21.0,0.5282908082008362,1.0,2.0
LSTM + BSM,All VIX Features,0.43673560649150206,0.8658823756560654,0.9220875962495196,0.7932707272501931,2.363683860280438,0.9315535466092515,22.0,0.5308459401130676,2.0,1.0
